1;123;123;1/8/2018;123;0;123.0;9,46;132,46
2;123;123;1/8/2018;861;30;836.0;64,31;900,31
3;123;123;1/8/2018;2214;;2214.0;170,31;2384,31
4;123;123;23/8/2018;492;30;478.0;36,77;514,77
5;123;123;23/8/2018;123;0;123.0;9,46;132,46
6;123;123;23/8/2018;100;0;100.0;7,69;107,69
7;123;123;23/8/2018;200;30;140.0;10,77;150,77
8;123;123;23/8/2018;100;0;100.0;7,69;107,69
9;123;123;23/8/2018;100;30;70.0;5,38;75,38
10;1245;0998;23/8/2018;378000;0;378000.0;29076,92;407076,92
11;123;0998;23/8/2018;700;70;210.0;16,15;226,15
12;123;0998;23/8/2018;300;0;300.0;23,08;323,08
13;123;0998;28/8/2018;28100;30;19670.0;1513,08;21183,08
