1;123;123;1;123;123
2;123;123;2;123;246
2;123;123;1;123;123
2;123;123;4;123;492
3;123;123;1;123;123
3;123;123;3;123;369
3;123;123;8;123;984
3;123;123;6;123;738
4;123;123;4;123;492
5;123;123;1;123;123
6;123;ropa;1;100;100
7;123;ropa;2;100;200
8;123;ropa;1;100;100
9;123;ropa;1;100;100
10;321;liguero rojo;9;14000;126000
10;321;liguero rojo;9;14000;126000
10;321;liguero rojo;9;14000;126000
11;123;ropa;1;100;100
11;123;ropa;1;100;100
11;123;ropa;1;100;100
11;123;ropa;1;100;100
11;123;ropa;3;100;300
12;123;ropa;1;100;100
12;123;ropa;1;100;100
12;123;ropa;1;100;100
13;123;ropa;1;100;100
13;321;liguero rojo;2;14000;28000
